,,COMMENT_ID,AUTHOR,DATE,CONTENT,CLASS
Psy,0,LZQPQhLyRh80UYxNuaDWhIGQYNQ96IuCg-AYWqNPjpU,Julius NM,2013-11-07T06:20:48,"Huh, anyway check out this you[tube] channel: kobyoshi02",1
Psy,1,LZQPQhLyRh_C2cTtd9MvFRJedxydaVW-2sNg5Diuo4A,adam riyati,2013-11-07T12:37:15,"Hey guys check out my new channel and our first vid THIS IS US THE  MONKEYS!!! I'm the monkey in the white shirt,please leave a like comment  and please subscribe!!!!",1
Psy,2,LZQPQhLyRh9MSZYnf8djyk0gEF9BHDPYrrK-qCczIY8,Evgeny Murashkin,2013-11-08T17:34:21,just for test I have to say murdev.com,1
Psy,3,z13jhp0bxqncu512g22wvzkasxmvvzjaz04,ElNino Melendez,2013-11-09T08:28:43,me shaking my sexy ass on my channel enjoy ^_^ ﻿,1
Psy,4,z13fwbwp1oujthgqj04chlngpvzmtt3r3dw,GsMega,2013-11-10T16:05:38,watch?v=vtaRGgvGtWQ   Check this out .﻿,1
Psy,5,LZQPQhLyRh9-wNRtlZDM90f1k0BrdVdJyN_YsaSwfxc,Jason Haddad,2013-11-26T02:55:11,"Hey, check out my new website!! This site is about kids stuff. kidsmediausa  . com",1
Psy,6,z13lfzdo5vmdi1cm123te5uz2mqig1brz04,ferleck ferles,2013-11-27T21:39:24,Subscribe to my channel ﻿,1
Psy,7,z122wfnzgt30fhubn04cdn3xfx2mxzngsl40k,Bob Kanowski,2013-11-28T12:33:27,i turned it on mute as soon is i came on i just wanted to check the  views...﻿,0
Psy,8,z13ttt1jcraqexk2o234ghbgzxymz1zzi04,Cony,2013-11-28T16:01:47,You should check my channel for Funny VIDEOS!!﻿,1
Psy,9,z12avveb4xqiirsix04chxviiljryduwxg0,BeBe Burkey,2013-11-28T16:30:13,and u should.d check my channel and tell me what I should do next!﻿,1
Psy,10,z13auhww3oufjn1qo04ci3grqqjmfjexxuo0k,Huckyduck,2013-11-28T17:06:17,Hey subscribe to me﻿,1
Psy,11,z13xit5agm2zyh4f523rst2gowmbx5bml,Lone Twistt,2013-11-28T17:34:55, Once you have started reading do not stop. If you do not subscribe to me  within one day you and you're entire family will die so if you want to stay  alive subscribe right now.﻿,1
Psy,12,z13pejoiuozwxtdu323dspopnri4xts0f,Archie Lewis,2013-11-28T17:54:39,https://twitter.com/GBphotographyGB﻿,1
Psy,13,z121zxaxsq25z5k5o04ch1o5jqqfij3gtm40k,TheUploadaddict,2013-11-28T18:12:12,subscribe like comment﻿,1
Psy,14,z12oglnpoq3gjh4om04cfdlbgp2uepyytpw0k,Francisco Nora,2013-11-28T19:52:35,please like :D https://premium.easypromosapp.com/voteme/19924/616375350﻿,1
Psy,15,z13phrmwrkfisn5er22eyrbpbvaiwfvwf04,Gaming and Stuff PRO,2013-11-28T21:14:13,"Hello! Do you like gaming, art videos, scientific experiments, tutorials,  lyrics videos, and much, much more of that? If you do please check out our  channel and subscribe to it, we've just started, but soon we hope we will  be able to cover all of our expectations... You can also check out what  we've got so far!﻿",1
Psy,16,z13bgdvyluihfv11i22rgxwhuvabzz1os04,Zielimeek21,2013-11-28T21:49:00,I'm only checking the views﻿,0
Psy,17,z13vxpnoxsyeuv2jr04cctprprb1slnxdf4,OutrightIgnite,2013-11-28T21:55:02,http://www.ebay.com/itm/171183229277?ssPageName=STRK:MESELX:IT&amp;_trksid=p3984.m1555.l2649 ﻿,1
Psy,18,z12qth5j0ob1fx3q404chvy4fz32tbkpllk0k,Tony K Frazier,2013-11-28T23:57:13,http://ubuntuone.com/40beUutVu2ZKxK4uTgPZ8K﻿,1
Psy,19,z13etj0bclzfztuwc04cgfvrgmf3fvjor1g,Jose Renteria,2013-11-29T00:22:01,"We are an EDM apparel company dedicated to bringing you music inspired  designs. Our clothing is perfect for any rave or music festival. We have  NEON crop tops, tank tops, t-shirts, v-necks and accessories! follow us on  Facebook or on instagraml for free giveaways news and more!! visit our site  at OnCueApparel﻿",1
Psy,20,z12axnji5w2axxht522thb3bktvqjdlbp04,zhichao wang,2013-11-29T02:13:56,i think about 100 millions of the views come from people who only wanted to  check the views﻿,0
Psy,21,z13ozdmr4lf3uzc5z04cix2zkyjzgvcyemw0k,Carlos Thegamer,2013-12-01T01:20:21,subscribe to my channel people :D﻿,1
Psy,22,z12ohdxjtsatvppjb04cctprprb1slnxdf4,OutrightIgnite,2013-12-01T03:30:55,Show your AUBURN PRIDE HERE: http://www.teespring.com/tigermeathoodie﻿,1
Psy,23,z12ntlcqht2bvjewi04cf1up0xjvs5lq3mc0k,Owen Lai,2013-12-01T04:51:52,just checking the views﻿,0
Psy,24,LZQPQhLyRh9EXArr4ZnVcDonSbvSMHKYOT24e_qR6fE,||GuitarZ||,2013-12-23T12:54:38,CHECK OUT MY CHANNEL,1
Psy,25,LZQPQhLyRh9y57URF7qpZRk3MVAJNLNhhZga_5YWBU8,Living4Techno,2013-12-25T19:46:26,marketglory . com/strategygame/andrijamatf earn real money from game,1
Psy,26,LZQPQhLyRh9vw01Xvvw5yWzZEUOPG1hSgRMHep55-Yw,8-BitMusic,2013-12-27T23:07:50,Hey guys! Im a 12 yr old music producer. I make chiptunes and 8bit music.  It would be wonderful if you checked out some of my 8bit remixes! I even  have a gangnamstyle 8bit remix if you would like to check that out ;)  Thanks!!,1
Psy,27,z13kszcinpnvc34v2234fnpxkpmlw3nhc04,Kyle Jaber,2014-01-19T00:21:29,Check me out! I'm kyle. I rap so yeah ﻿,1
Psy,28,z13tj514otzlurfbc04ccjwhrnmej1iihqw0k,Brandon Pryor,2014-01-19T00:36:25,I dont even watch it anymore i just come here to check on 2 Billion or not﻿,0
Psy,29,z13zvh1rmk3cf3mby04civbq5mjtddmbysk0k,Fun&amp;Hacks,2014-01-19T00:42:35,"Subscribe to me for free Android games, apps.. ﻿",1
Psy,30,z120y3ribybzdf3fj23sf1rpgq3cex0sh,Young Hittaz,2014-01-19T04:21:11,everyone please come check our newest song in memories of Martin Luther  King Jr.﻿,1
Psy,31,z13autsqgzblcx3w104chr4r2kexd10rxc0,DropShotSk8r,2014-01-19T04:27:18,"Came here to check the views, goodbye.﻿",0
