age-over30,sex,region,income-over40,married,children,car,mortgage,class
TRUE,FEMALE,INNER_CITY,FALSE,NO,YES,NO,NO,YES
TRUE,MALE,TOWN,FALSE,YES,YES,YES,YES,NO
TRUE,FEMALE,INNER_CITY,FALSE,YES,NO,YES,NO,NO
FALSE,FEMALE,TOWN,FALSE,YES,YES,NO,NO,NO
TRUE,FEMALE,RURAL,TRUE,YES,NO,NO,NO,NO
TRUE,FEMALE,TOWN,FALSE,YES,YES,NO,NO,YES
FALSE,MALE,RURAL,FALSE,NO,NO,NO,NO,YES
TRUE,MALE,TOWN,FALSE,YES,NO,YES,NO,NO
TRUE,FEMALE,SUBURBAN,FALSE,YES,YES,YES,NO,NO
TRUE,MALE,TOWN,FALSE,YES,YES,YES,NO,NO
TRUE,FEMALE,TOWN,TRUE,YES,NO,NO,NO,NO
TRUE,FEMALE,INNER_CITY,FALSE,NO,NO,YES,YES,NO
TRUE,FEMALE,TOWN,FALSE,YES,YES,NO,YES,YES
TRUE,FEMALE,TOWN,TRUE,YES,YES,YES,YES,YES
TRUE,MALE,RURAL,FALSE,YES,NO,NO,YES,NO
TRUE,FEMALE,INNER_CITY,FALSE,YES,NO,YES,YES,NO
TRUE,FEMALE,TOWN,FALSE,YES,YES,NO,YES,NO
TRUE,FEMALE,SUBURBAN,TRUE,YES,NO,NO,YES,NO
TRUE,FEMALE,INNER_CITY,FALSE,YES,NO,NO,NO,YES
TRUE,MALE,TOWN,FALSE,YES,NO,YES,NO,NO
TRUE,MALE,INNER_CITY,TRUE,YES,YES,NO,NO,YES
TRUE,MALE,TOWN,FALSE,YES,YES,NO,NO,NO
TRUE,MALE,INNER_CITY,FALSE,YES,NO,NO,NO,NO
FALSE,FEMALE,TOWN,FALSE,NO,NO,YES,YES,NO
FALSE,MALE,INNER_CITY,FALSE,NO,YES,YES,NO,NO
TRUE,MALE,INNER_CITY,TRUE,YES,NO,YES,YES,NO
TRUE,MALE,INNER_CITY,FALSE,YES,NO,NO,YES,NO
TRUE,FEMALE,TOWN,FALSE,YES,YES,NO,NO,YES
TRUE,FEMALE,INNER_CITY,FALSE,NO,YES,YES,YES,NO
TRUE,MALE,RURAL,FALSE,YES,YES,NO,NO,YES
TRUE,FEMALE,RURAL,FALSE,YES,YES,NO,NO,NO
FALSE,FEMALE,TOWN,FALSE,YES,YES,NO,NO,NO
TRUE,MALE,SUBURBAN,FALSE,YES,YES,YES,NO,YES
TRUE,FEMALE,INNER_CITY,FALSE,NO,YES,YES,NO,NO
TRUE,MALE,SUBURBAN,FALSE,NO,NO,NO,NO,YES
FALSE,FEMALE,INNER_CITY,FALSE,YES,YES,NO,NO,NO
FALSE,MALE,RURAL,FALSE,YES,YES,YES,NO,NO
TRUE,FEMALE,RURAL,FALSE,NO,NO,YES,NO,YES
TRUE,FEMALE,TOWN,FALSE,YES,NO,YES,NO,NO
TRUE,FEMALE,SUBURBAN,FALSE,NO,YES,NO,NO,NO
TRUE,MALE,TOWN,FALSE,YES,NO,NO,YES,YES
TRUE,FEMALE,INNER_CITY,FALSE,YES,NO,YES,NO,NO
TRUE,MALE,TOWN,TRUE,NO,YES,YES,NO,YES
TRUE,FEMALE,TOWN,FALSE,YES,NO,YES,YES,NO
FALSE,MALE,INNER_CITY,FALSE,NO,YES,YES,YES,NO
TRUE,MALE,INNER_CITY,TRUE,YES,YES,NO,YES,YES
TRUE,FEMALE,INNER_CITY,FALSE,NO,YES,YES,NO,YES
FALSE,MALE,INNER_CITY,FALSE,NO,YES,NO,YES,YES
TRUE,MALE,INNER_CITY,FALSE,NO,YES,YES,NO,YES
TRUE,FEMALE,RURAL,FALSE,YES,YES,YES,NO,NO
FALSE,MALE,TOWN,FALSE,NO,YES,YES,NO,NO
TRUE,MALE,TOWN,FALSE,YES,NO,NO,NO,NO
TRUE,MALE,TOWN,FALSE,YES,YES,NO,NO,YES
TRUE,MALE,SUBURBAN,FALSE,NO,YES,NO,NO,YES
TRUE,MALE,TOWN,TRUE,YES,NO,NO,YES,NO
TRUE,FEMALE,RURAL,TRUE,NO,YES,NO,NO,YES
TRUE,FEMALE,INNER_CITY,FALSE,NO,NO,NO,NO,YES
FALSE,MALE,INNER_CITY,FALSE,YES,NO,NO,NO,YES
FALSE,FEMALE,INNER_CITY,FALSE,YES,NO,NO,NO,NO
TRUE,MALE,INNER_CITY,FALSE,NO,YES,YES,YES,YES
TRUE,FEMALE,INNER_CITY,FALSE,YES,YES,NO,YES,YES
TRUE,FEMALE,INNER_CITY,FALSE,NO,YES,YES,NO,YES
TRUE,MALE,INNER_CITY,FALSE,YES,YES,NO,NO,NO
FALSE,MALE,INNER_CITY,FALSE,YES,NO,NO,NO,NO
FALSE,MALE,TOWN,FALSE,NO,NO,YES,YES,NO
TRUE,MALE,INNER_CITY,FALSE,YES,NO,NO,NO,NO
FALSE,MALE,TOWN,FALSE,NO,YES,NO,NO,NO
TRUE,FEMALE,TOWN,FALSE,NO,NO,NO,YES,NO
TRUE,MALE,TOWN,FALSE,NO,YES,NO,NO,NO
TRUE,FEMALE,RURAL,FALSE,YES,YES,NO,NO,YES
FALSE,MALE,INNER_CITY,FALSE,YES,YES,YES,NO,NO
FALSE,MALE,INNER_CITY,FALSE,NO,NO,NO,NO,YES
TRUE,MALE,INNER_CITY,FALSE,YES,YES,YES,YES,YES
TRUE,FEMALE,INNER_CITY,FALSE,YES,YES,NO,YES,NO
TRUE,FEMALE,INNER_CITY,TRUE,NO,YES,YES,NO,YES
TRUE,FEMALE,RURAL,FALSE,NO,YES,YES,NO,YES
TRUE,FEMALE,TOWN,FALSE,NO,NO,NO,YES,NO
TRUE,MALE,INNER_CITY,TRUE,YES,YES,YES,YES,YES
TRUE,FEMALE,INNER_CITY,FALSE,YES,NO,YES,NO,NO
TRUE,FEMALE,TOWN,FALSE,YES,YES,YES,NO,YES
TRUE,FEMALE,TOWN,FALSE,NO,YES,NO,NO,YES
TRUE,MALE,INNER_CITY,FALSE,NO,YES,NO,NO,NO
FALSE,FEMALE,INNER_CITY,FALSE,YES,YES,NO,NO,NO
TRUE,MALE,INNER_CITY,FALSE,YES,YES,NO,NO,YES
TRUE,MALE,INNER_CITY,FALSE,YES,NO,NO,YES,YES
TRUE,MALE,INNER_CITY,FALSE,YES,YES,YES,NO,YES
FALSE,FEMALE,INNER_CITY,FALSE,YES,NO,NO,NO,NO
TRUE,FEMALE,TOWN,FALSE,NO,NO,YES,YES,NO
TRUE,MALE,SUBURBAN,FALSE,YES,NO,YES,YES,NO
TRUE,FEMALE,INNER_CITY,FALSE,YES,YES,NO,NO,YES
TRUE,MALE,TOWN,FALSE,YES,YES,YES,YES,YES
FALSE,FEMALE,INNER_CITY,FALSE,NO,YES,NO,YES,NO
TRUE,FEMALE,RURAL,FALSE,NO,NO,NO,NO,YES
TRUE,MALE,INNER_CITY,TRUE,YES,YES,YES,NO,NO
TRUE,FEMALE,INNER_CITY,TRUE,YES,NO,YES,NO,NO
FALSE,FEMALE,INNER_CITY,FALSE,YES,NO,NO,NO,NO
FALSE,MALE,INNER_CITY,FALSE,YES,YES,NO,YES,NO
TRUE,MALE,TOWN,FALSE,YES,YES,YES,YES,YES
TRUE,FEMALE,INNER_CITY,FALSE,NO,YES,NO,NO,NO
FALSE,FEMALE,RURAL,FALSE,YES,NO,YES,NO,NO
TRUE,MALE,INNER_CITY,FALSE,YES,YES,NO,YES,YES
FALSE,FEMALE,INNER_CITY,FALSE,YES,YES,YES,NO,NO
TRUE,MALE,INNER_CITY,FALSE,YES,NO,YES,YES,YES
TRUE,MALE,TOWN,FALSE,NO,NO,NO,YES,NO
TRUE,FEMALE,INNER_CITY,FALSE,YES,YES,NO,NO,YES
TRUE,MALE,TOWN,FALSE,YES,YES,YES,NO,NO
TRUE,MALE,RURAL,TRUE,YES,NO,YES,NO,NO
FALSE,MALE,INNER_CITY,FALSE,YES,NO,NO,NO,NO
FALSE,MALE,INNER_CITY,FALSE,NO,NO,NO,NO,YES
TRUE,FEMALE,INNER_CITY,FALSE,YES,YES,YES,YES,NO
TRUE,MALE,TOWN,FALSE,NO,YES,NO,NO,YES
TRUE,MALE,INNER_CITY,FALSE,YES,YES,YES,YES,NO
TRUE,FEMALE,INNER_CITY,FALSE,YES,NO,YES,NO,NO
TRUE,MALE,TOWN,FALSE,NO,YES,YES,NO,YES
TRUE,MALE,INNER_CITY,TRUE,YES,YES,YES,NO,YES
TRUE,FEMALE,INNER_CITY,TRUE,YES,NO,NO,NO,NO
TRUE,FEMALE,TOWN,FALSE,YES,YES,NO,NO,NO
FALSE,MALE,INNER_CITY,FALSE,YES,YES,NO,YES,NO
TRUE,MALE,TOWN,FALSE,NO,NO,YES,NO,YES
TRUE,FEMALE,RURAL,TRUE,YES,YES,YES,NO,YES
TRUE,MALE,RURAL,FALSE,NO,YES,NO,YES,NO
TRUE,FEMALE,RURAL,TRUE,YES,YES,YES,NO,YES
TRUE,FEMALE,TOWN,FALSE,YES,YES,NO,YES,YES
TRUE,FEMALE,RURAL,FALSE,NO,YES,NO,NO,YES
TRUE,MALE,RURAL,TRUE,NO,YES,YES,NO,YES
TRUE,MALE,INNER_CITY,FALSE,YES,YES,NO,NO,YES
TRUE,FEMALE,TOWN,FALSE,YES,NO,YES,NO,NO
TRUE,FEMALE,INNER_CITY,TRUE,YES,NO,NO,NO,NO
TRUE,MALE,TOWN,FALSE,YES,YES,YES,NO,NO
FALSE,FEMALE,RURAL,FALSE,NO,NO,YES,NO,YES
TRUE,MALE,INNER_CITY,FALSE,NO,YES,NO,NO,NO
TRUE,MALE,RURAL,TRUE,YES,YES,NO,YES,NO
TRUE,FEMALE,SUBURBAN,FALSE,NO,YES,YES,NO,NO
TRUE,FEMALE,SUBURBAN,FALSE,YES,NO,YES,NO,NO
TRUE,FEMALE,TOWN,TRUE,YES,YES,YES,YES,YES
TRUE,FEMALE,TOWN,FALSE,YES,YES,YES,NO,YES
FALSE,FEMALE,INNER_CITY,FALSE,YES,YES,YES,YES,NO
TRUE,FEMALE,INNER_CITY,FALSE,NO,NO,NO,NO,YES
TRUE,FEMALE,RURAL,TRUE,YES,NO,NO,NO,NO
TRUE,FEMALE,INNER_CITY,TRUE,NO,YES,NO,NO,YES
TRUE,MALE,INNER_CITY,FALSE,YES,YES,NO,NO,NO
TRUE,FEMALE,INNER_CITY,FALSE,YES,NO,NO,NO,NO
FALSE,FEMALE,TOWN,FALSE,YES,YES,YES,YES,NO
TRUE,MALE,TOWN,TRUE,YES,NO,YES,YES,NO
FALSE,MALE,INNER_CITY,FALSE,YES,YES,NO,NO,YES
TRUE,MALE,SUBURBAN,TRUE,YES,NO,NO,YES,YES
TRUE,MALE,TOWN,FALSE,YES,YES,YES,NO,NO
FALSE,FEMALE,INNER_CITY,FALSE,NO,YES,NO,NO,NO
TRUE,MALE,RURAL,FALSE,YES,NO,YES,NO,NO
TRUE,FEMALE,SUBURBAN,FALSE,YES,YES,YES,NO,NO
TRUE,MALE,RURAL,FALSE,YES,YES,YES,NO,YES
TRUE,MALE,TOWN,FALSE,NO,YES,YES,NO,YES
TRUE,MALE,TOWN,TRUE,YES,YES,NO,YES,YES
TRUE,MALE,INNER_CITY,FALSE,YES,YES,NO,YES,YES
TRUE,MALE,RURAL,FALSE,NO,YES,YES,NO,NO
FALSE,FEMALE,SUBURBAN,FALSE,YES,YES,NO,NO,YES
TRUE,MALE,TOWN,FALSE,YES,NO,YES,NO,NO
FALSE,MALE,RURAL,FALSE,YES,YES,YES,NO,NO
TRUE,FEMALE,TOWN,FALSE,YES,NO,NO,NO,YES
TRUE,FEMALE,TOWN,FALSE,YES,YES,NO,NO,YES
FALSE,MALE,INNER_CITY,FALSE,YES,YES,YES,NO,NO
TRUE,FEMALE,INNER_CITY,FALSE,YES,NO,NO,NO,NO
TRUE,FEMALE,TOWN,FALSE,NO,YES,NO,NO,NO
FALSE,FEMALE,TOWN,FALSE,NO,YES,YES,NO,NO
TRUE,FEMALE,INNER_CITY,FALSE,YES,NO,NO,NO,NO
FALSE,MALE,RURAL,FALSE,YES,YES,NO,YES,YES
FALSE,MALE,TOWN,FALSE,NO,YES,NO,YES,NO
FALSE,MALE,INNER_CITY,FALSE,NO,YES,NO,YES,NO
TRUE,FEMALE,TOWN,FALSE,NO,NO,YES,NO,NO
TRUE,MALE,INNER_CITY,FALSE,YES,NO,NO,NO,NO
TRUE,MALE,INNER_CITY,TRUE,YES,NO,YES,NO,NO
FALSE,MALE,INNER_CITY,FALSE,YES,YES,NO,NO,NO
TRUE,MALE,INNER_CITY,FALSE,YES,YES,YES,NO,NO
TRUE,MALE,RURAL,FALSE,YES,YES,YES,NO,YES
TRUE,FEMALE,TOWN,TRUE,YES,YES,NO,NO,YES
TRUE,FEMALE,INNER_CITY,TRUE,NO,NO,NO,NO,YES
TRUE,MALE,TOWN,FALSE,YES,NO,YES,NO,NO
TRUE,FEMALE,INNER_CITY,FALSE,YES,NO,YES,YES,YES
TRUE,MALE,INNER_CITY,FALSE,YES,NO,NO,NO,YES
TRUE,MALE,INNER_CITY,FALSE,YES,YES,NO,NO,YES
FALSE,FEMALE,INNER_CITY,FALSE,YES,YES,NO,YES,YES
TRUE,MALE,RURAL,TRUE,NO,NO,NO,NO,YES
TRUE,FEMALE,INNER_CITY,FALSE,NO,NO,YES,YES,NO
TRUE,FEMALE,INNER_CITY,FALSE,YES,YES,YES,YES,NO
TRUE,FEMALE,INNER_CITY,FALSE,NO,NO,YES,YES,NO
TRUE,MALE,RURAL,FALSE,YES,YES,YES,YES,YES
FALSE,FEMALE,INNER_CITY,FALSE,YES,NO,NO,YES,YES
TRUE,FEMALE,TOWN,FALSE,YES,YES,NO,NO,YES
TRUE,MALE,INNER_CITY,FALSE,YES,YES,YES,YES,NO
TRUE,FEMALE,INNER_CITY,FALSE,YES,NO,NO,NO,NO
TRUE,FEMALE,SUBURBAN,TRUE,YES,YES,YES,NO,YES
TRUE,MALE,INNER_CITY,FALSE,YES,YES,YES,NO,NO
TRUE,FEMALE,RURAL,TRUE,YES,YES,NO,NO,YES
TRUE,MALE,INNER_CITY,FALSE,YES,NO,YES,YES,YES
TRUE,MALE,SUBURBAN,FALSE,YES,YES,YES,NO,YES
TRUE,MALE,INNER_CITY,FALSE,YES,YES,NO,YES,YES
TRUE,FEMALE,INNER_CITY,FALSE,NO,NO,NO,YES,YES
TRUE,MALE,INNER_CITY,TRUE,YES,YES,YES,NO,YES
FALSE,MALE,INNER_CITY,FALSE,NO,YES,NO,YES,NO
FALSE,FEMALE,INNER_CITY,FALSE,YES,NO,NO,NO,YES
TRUE,FEMALE,RURAL,FALSE,NO,NO,NO,YES,YES
FALSE,MALE,RURAL,FALSE,NO,YES,YES,YES,NO
TRUE,MALE,INNER_CITY,FALSE,YES,NO,YES,NO,NO
TRUE,MALE,INNER_CITY,FALSE,NO,NO,NO,YES,YES
FALSE,FEMALE,INNER_CITY,FALSE,YES,YES,NO,NO,YES
TRUE,MALE,SUBURBAN,FALSE,YES,YES,YES,NO,YES
TRUE,MALE,SUBURBAN,TRUE,NO,YES,NO,NO,YES
TRUE,MALE,SUBURBAN,FALSE,NO,NO,NO,NO,YES
TRUE,FEMALE,SUBURBAN,FALSE,YES,YES,YES,NO,YES
FALSE,MALE,SUBURBAN,FALSE,YES,YES,NO,NO,NO
FALSE,FEMALE,INNER_CITY,FALSE,NO,YES,YES,YES,YES
FALSE,MALE,INNER_CITY,FALSE,NO,NO,YES,YES,NO
TRUE,FEMALE,INNER_CITY,TRUE,NO,YES,YES,NO,YES
FALSE,FEMALE,INNER_CITY,FALSE,YES,NO,YES,NO,YES
TRUE,FEMALE,SUBURBAN,TRUE,YES,NO,NO,NO,NO
FALSE,MALE,RURAL,FALSE,YES,NO,NO,YES,NO
TRUE,MALE,INNER_CITY,FALSE,NO,YES,NO,YES,NO
TRUE,MALE,RURAL,FALSE,YES,YES,YES,NO,YES
FALSE,FEMALE,TOWN,FALSE,YES,YES,YES,NO,YES
TRUE,MALE,TOWN,FALSE,YES,NO,NO,YES,NO
TRUE,MALE,INNER_CITY,TRUE,YES,NO,YES,YES,NO
TRUE,MALE,INNER_CITY,TRUE,NO,YES,NO,NO,YES
FALSE,MALE,INNER_CITY,FALSE,YES,YES,YES,NO,NO
TRUE,FEMALE,INNER_CITY,TRUE,YES,NO,YES,NO,NO
FALSE,MALE,TOWN,FALSE,NO,YES,YES,NO,YES
TRUE,FEMALE,RURAL,FALSE,YES,NO,NO,NO,NO
TRUE,FEMALE,TOWN,FALSE,YES,YES,NO,NO,NO
TRUE,FEMALE,INNER_CITY,FALSE,YES,YES,YES,NO,YES
TRUE,FEMALE,INNER_CITY,FALSE,YES,YES,YES,YES,YES
TRUE,MALE,RURAL,FALSE,NO,YES,NO,YES,NO
TRUE,MALE,TOWN,FALSE,YES,NO,NO,YES,NO
TRUE,FEMALE,TOWN,TRUE,YES,YES,YES,NO,YES
TRUE,MALE,TOWN,FALSE,NO,NO,YES,YES,NO
TRUE,FEMALE,RURAL,FALSE,YES,NO,NO,YES,YES
TRUE,MALE,INNER_CITY,FALSE,YES,NO,YES,NO,NO
FALSE,MALE,TOWN,FALSE,NO,YES,YES,YES,NO
TRUE,MALE,INNER_CITY,FALSE,YES,NO,YES,YES,YES
TRUE,FEMALE,INNER_CITY,FALSE,NO,YES,YES,YES,YES
FALSE,FEMALE,SUBURBAN,FALSE,YES,YES,NO,NO,NO
FALSE,MALE,INNER_CITY,FALSE,YES,YES,YES,NO,NO
TRUE,MALE,INNER_CITY,FALSE,YES,YES,NO,YES,YES
TRUE,MALE,INNER_CITY,TRUE,YES,NO,YES,NO,NO
TRUE,FEMALE,RURAL,FALSE,YES,NO,YES,NO,NO
TRUE,MALE,TOWN,FALSE,NO,NO,YES,YES,YES
FALSE,FEMALE,RURAL,FALSE,YES,NO,NO,NO,YES
TRUE,MALE,RURAL,FALSE,YES,NO,YES,NO,NO
TRUE,FEMALE,TOWN,TRUE,YES,NO,NO,NO,NO
TRUE,FEMALE,TOWN,FALSE,YES,YES,NO,NO,YES
TRUE,MALE,RURAL,TRUE,YES,YES,YES,NO,YES
TRUE,FEMALE,RURAL,FALSE,NO,NO,YES,NO,YES
TRUE,MALE,INNER_CITY,FALSE,YES,YES,YES,NO,NO
TRUE,MALE,TOWN,FALSE,NO,NO,YES,YES,NO
TRUE,FEMALE,INNER_CITY,FALSE,NO,NO,NO,NO,YES
