infants,water,budget,physician,elsalvador,schools,satellite,contras,missile,immigration,synfuels,education,superfund,crime,dutyfree,southafrica,class
NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,ABSTAIN,YES,YES,YES,NO,YES,Republican
NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,ABSTAIN,Republican
ABSTAIN,YES,YES,ABSTAIN,YES,YES,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,Democrat
NO,YES,YES,NO,ABSTAIN,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,Democrat
YES,YES,YES,NO,YES,YES,NO,NO,NO,NO,YES,ABSTAIN,YES,YES,YES,YES,Democrat
NO,YES,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES,Democrat
NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,ABSTAIN,YES,YES,YES,Democrat
NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,ABSTAIN,YES,Republican
NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,YES,Republican
YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,ABSTAIN,ABSTAIN,Democrat
NO,YES,NO,YES,YES,NO,NO,NO,NO,NO,ABSTAIN,ABSTAIN,YES,YES,NO,NO,Republican
NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,YES,ABSTAIN,YES,YES,ABSTAIN,ABSTAIN,Republican
NO,YES,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,YES,NO,ABSTAIN,ABSTAIN,Democrat
YES,YES,YES,NO,NO,YES,YES,YES,ABSTAIN,YES,YES,ABSTAIN,NO,NO,YES,ABSTAIN,Democrat
NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,ABSTAIN,ABSTAIN,NO,ABSTAIN,Republican
NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,ABSTAIN,NO,ABSTAIN,Republican
YES,NO,YES,NO,NO,YES,NO,YES,ABSTAIN,YES,YES,YES,ABSTAIN,NO,NO,YES,Democrat
YES,ABSTAIN,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,Democrat
NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,ABSTAIN,YES,YES,NO,NO,Republican
YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,YES,NO,NO,NO,YES,YES,Democrat
YES,YES,YES,NO,NO,ABSTAIN,YES,YES,NO,NO,YES,NO,NO,NO,YES,YES,Democrat
YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,ABSTAIN,ABSTAIN,YES,YES,Democrat
YES,ABSTAIN,YES,NO,NO,NO,YES,YES,YES,NO,NO,ABSTAIN,NO,NO,YES,YES,Democrat
YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,Democrat
YES,NO,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,ABSTAIN,Democrat
YES,NO,YES,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,YES,YES,Democrat
YES,NO,YES,NO,NO,NO,YES,YES,YES,NO,YES,NO,NO,NO,YES,YES,Democrat
YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,YES,NO,NO,NO,YES,YES,Democrat
YES,NO,NO,YES,YES,NO,YES,YES,YES,NO,NO,YES,YES,YES,NO,YES,Republican
YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,YES,NO,NO,NO,YES,YES,Democrat
NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,Republican
YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,YES,NO,NO,NO,YES,ABSTAIN,Democrat
YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,NO,NO,YES,NO,YES,YES,Democrat
NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,YES,Republican
YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,Democrat
NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,Republican
YES,ABSTAIN,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,ABSTAIN,YES,NO,YES,Republican
YES,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES,Republican
NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,YES,NO,NO,Republican
YES,NO,YES,NO,NO,NO,YES,YES,YES,YES,YES,NO,YES,NO,YES,YES,Democrat
YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,ABSTAIN,NO,NO,NO,NO,ABSTAIN,Democrat
YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,ABSTAIN,Democrat
YES,NO,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,Democrat
YES,NO,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,Democrat
YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,YES,NO,NO,NO,NO,ABSTAIN,Democrat
YES,YES,YES,NO,NO,NO,YES,YES,ABSTAIN,NO,YES,NO,NO,NO,YES,ABSTAIN,Democrat
YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,Democrat
YES,NO,YES,NO,NO,NO,YES,YES,ABSTAIN,NO,NO,NO,NO,NO,NO,ABSTAIN,Democrat
YES,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,YES,NO,YES,Democrat
NO,ABSTAIN,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,Republican
YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,YES,NO,NO,NO,YES,YES,Democrat
NO,YES,NO,YES,YES,YES,NO,ABSTAIN,NO,NO,NO,YES,YES,YES,NO,YES,Republican
YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,ABSTAIN,ABSTAIN,Democrat
YES,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,YES,NO,NO,Republican
YES,YES,YES,NO,NO,YES,ABSTAIN,YES,NO,NO,YES,YES,NO,YES,NO,ABSTAIN,Democrat
NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO,Republican
NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,YES,NO,YES,Republican
NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,YES,NO,YES,Republican
NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,YES,NO,YES,Republican
NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,YES,NO,ABSTAIN,Republican
YES,YES,YES,NO,NO,ABSTAIN,YES,YES,YES,YES,NO,NO,NO,NO,YES,ABSTAIN,Democrat
NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,Republican
YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,ABSTAIN,Democrat
YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,YES,NO,NO,NO,NO,YES,Democrat
