ADR,Rating
85.0,117.0
83.5,110.00000000000001
78.2,102.0
68.1,97.0
66.3,86.0
99.8,135.0
78.2,120.0
85.6,103.0
66.6,100.0
57.5,87.0
118.6,182.0
114.8,167.0
90.0,155.0
59.2,122.0
68.9,107.0
85.0,101.0
65.8,81.0
44.7,55.00000000000001
56.2,52.0
54.2,50.0
113.7,142.0
86.1,128.0
77.9,114.99999999999999
62.5,81.0
43.7,69.0
100.4,123.0
73.1,110.00000000000001
73.9,108.0
59.6,99.0
55.0,72.0
86.6,112.00000000000001
92.6,100.0
66.6,90.0
46.7,65.0
53.1,62.0
117.0,170.0
88.3,133.0
86.2,132.0
56.7,109.00000000000001
56.6,72.0
77.4,133.0
85.7,121.0
78.1,93.0
69.8,92.0
62.3,87.0
94.9,132.0
88.1,118.0
66.9,105.0
76.6,102.0
48.8,65.0
93.7,117.0
72.1,107.0
77.9,106.0
78.5,105.0
58.7,77.0
108.3,159.0
94.5,115.99999999999999
76.8,112.00000000000001
64.9,104.0
53.6,69.0
75.0,99.0
61.2,98.0
80.8,97.0
67.2,90.0
67.0,79.0
126.1,204.99999999999997
100.0,146.0
78.3,123.0
56.6,76.0
57.8,73.0
91.1,109.00000000000001
64.3,90.0
85.5,87.0
54.3,72.0
57.1,72.0
123.7,186.0
84.2,123.0
82.2,120.0
73.3,120.0
64.8,105.0
87.9,119.0
84.6,111.00000000000001
80.5,99.0
66.9,85.0
54.8,65.0
113.5,148.0
93.6,131.0
81.5,117.0
69.5,111.00000000000001
41.1,65.0
95.7,150.0
81.4,149.0
94.7,137.0
69.1,112.99999999999999
49.0,67.0
97.7,143.0
69.7,99.0
69.8,91.0
62.2,75.0
40.3,50.0
136.5,220.00000000000003
110.2,166.0
75.4,154.0
87.7,145.0
80.0,134.0
53.2,61.0
63.1,60.0
70.1,57.99999999999999
52.0,48.0
36.4,27.0
71.6,78.0
60.7,67.0
59.5,60.0
72.4,50.0
45.1,41.0
126.1,204.99999999999997
100.2,158.0
88.3,155.0
92.4,134.0
79.3,122.0
104.3,146.0
89.7,130.0
79.0,127.0
66.3,96.0
53.2,85.0
85.5,107.0
72.7,95.0
65.5,94.0
66.9,87.0
57.0,84.0
100.7,138.0
89.2,137.0
79.8,137.0
62.5,110.00000000000001
73.4,105.0
101.5,112.99999999999999
83.0,106.0
62.1,93.0
41.7,57.99999999999999
45.6,56.00000000000001
110.0,165.0
93.6,142.0
83.8,125.0
70.2,107.0
42.6,82.0
74.9,101.0
73.0,97.0
65.8,88.0
69.9,77.0
68.9,73.0
89.7,139.0
77.4,124.0
77.5,120.0
82.3,110.00000000000001
55.5,93.0
82.1,111.00000000000001
72.7,92.0
67.1,90.0
70.8,88.0
56.8,68.0
84.2,112.99999999999999
78.5,100.0
62.3,86.0
73.2,86.0
68.3,72.0
108.9,153.0
98.6,144.0
81.2,130.0
73.1,120.0
66.8,97.0
108.4,150.0
92.3,140.0
75.0,111.00000000000001
74.8,100.0
35.5,49.0
88.7,122.0
72.5,100.0
68.8,96.0
67.8,89.0
69.8,85.0
135.3,202.99999999999997
91.8,137.0
79.3,131.0
68.7,112.99999999999999
44.3,75.0
102.0,140.0
67.1,67.0
50.1,63.0
37.7,47.0
44.3,47.0
105.3,137.0
72.6,130.0
97.7,127.0
55.6,89.0
62.1,82.0
95.5,131.0
72.4,112.00000000000001
86.7,107.0
63.4,94.0
65.1,76.0
55.4,85.0
71.7,83.0
70.8,77.0
52.0,69.0
59.6,68.0
114.1,185.0
95.6,143.0
92.0,131.0
71.2,121.0
62.9,110.00000000000001
119.1,211.0
96.5,163.0
98.1,154.0
92.2,148.0
85.2,145.0
84.9,101.0
58.9,61.0
38.2,41.0
38.8,35.0
19.7,5.0
116.4,168.0
78.5,148.0
98.5,136.0
69.4,131.0
64.1,126.0
76.5,101.0
69.3,77.0
53.9,69.0
51.0,61.0
64.5,60.0
96.4,141.0
77.4,134.0
74.4,121.0
75.1,107.0
82.0,99.0
76.3,109.00000000000001
84.6,107.0
67.8,77.0
68.4,76.0
57.2,68.0
115.3,196.0
89.9,127.0
81.3,118.0
60.7,102.0
66.8,96.0
64.5,92.0
77.9,91.0
72.6,85.0
69.7,84.0
63.7,82.0
113.0,176.0
78.8,127.0
67.1,118.0
81.5,115.99999999999999
80.2,112.99999999999999
76.5,103.0
73.9,103.0
81.0,92.0
65.1,80.0
60.8,74.0
76.1,90.0
60.1,76.0
66.3,71.0
45.0,60.0
63.7,56.99999999999999
127.8,219.0
129.7,176.0
99.7,168.0
76.2,100.0
33.4,78.0
96.0,112.99999999999999
71.5,105.0
74.1,89.0
60.7,69.0
49.0,69.0
125.2,171.0
80.4,124.0
