CustomerID,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,Class
15776156,1,22.08,11.46,2,4,4,1.585,0,0,0,1,2,100,1213,0
15739548,0,22.67,7,2,8,4,0.165,0,0,0,0,2,160,1,0
15662854,0,29.58,1.75,1,4,4,1.25,0,0,0,1,2,280,1,0
15687688,0,21.67,11.5,1,5,3,0,1,1,11,1,2,0,1,1
15715750,1,20.17,8.17,2,6,4,1.96,1,1,14,0,2,60,159,1
15571121,0,15.83,0.585,2,8,8,1.5,1,1,2,0,2,100,1,1
15726466,1,17.42,6.5,2,3,4,0.125,0,0,0,0,2,60,101,0
15660390,0,58.67,4.46,2,11,8,3.04,1,1,6,0,2,43,561,1
15663942,1,27.83,1,1,2,8,3,0,0,0,0,2,176,538,0
15638610,0,55.75,7.08,2,4,8,6.75,1,1,3,1,2,100,51,0
15644446,1,33.5,1.75,2,14,8,4.5,1,1,4,1,2,253,858,1
15585892,1,41.42,5,2,11,8,5,1,1,6,1,2,470,1,1
15609356,1,20.67,1.25,1,8,8,1.375,1,1,3,1,2,140,211,0
15803378,1,34.92,5,2,14,8,7.5,1,1,6,1,2,0,1001,1
15599440,1,58.58,2.71,2,8,4,2.415,0,0,0,1,2,320,1,0
15692408,1,48.08,6.04,2,4,4,0.04,0,0,0,0,2,0,2691,1
15683168,1,29.58,4.5,2,9,4,7.5,1,1,2,1,2,330,1,1
15790254,0,18.92,9,2,6,4,0.75,1,1,2,0,2,88,592,1
15767729,1,20,1.25,1,4,4,0.125,0,0,0,0,2,140,5,0
15768600,0,22.42,5.665,2,11,4,2.585,1,1,7,0,2,129,3258,1
15699839,0,28.17,0.585,2,6,4,0.04,0,0,0,0,2,260,1005,0
15786237,0,19.17,0.585,1,6,4,0.585,1,0,0,1,2,160,1,0
15694530,1,41.17,1.335,2,2,4,0.165,0,0,0,0,2,168,1,0
15796813,1,41.58,1.75,2,4,4,0.21,1,0,0,0,2,160,1,0
15605791,1,19.5,9.585,2,6,4,0.79,0,0,0,0,2,80,351,0
15714087,1,32.75,1.5,2,13,8,5.5,1,1,3,1,2,0,1,1
15711446,1,22.5,0.125,1,4,4,0.125,0,0,0,0,2,200,71,0
15588123,1,33.17,3.04,1,8,8,2.04,1,1,1,1,2,180,18028,1
15748552,0,30.67,12,2,8,4,2,1,1,1,0,2,220,20,1
15618410,1,23.08,2.5,2,8,4,1.085,1,1,11,1,2,60,2185,1
15672432,1,27,0.75,2,8,8,4.25,1,1,3,1,2,312,151,1
15610042,0,20.42,10.5,1,14,8,0,0,0,0,1,2,154,33,0
15580914,1,52.33,1.375,1,8,8,9.46,1,0,0,1,2,200,101,0
15583680,1,23.08,11.5,2,9,8,2.125,1,1,11,1,2,290,285,1
15813718,1,42.83,1.25,2,7,4,13.875,0,1,1,1,2,352,113,0
15767264,1,74.83,19,1,1,1,0.04,0,1,2,0,2,0,352,0
15686461,1,25,12.5,2,6,4,3,1,0,0,1,1,20,1,1
15678882,1,39.58,13.915,2,9,4,8.625,1,1,6,1,2,70,1,1
15789611,0,47.75,8,2,8,4,7.875,1,1,6,1,2,0,1261,1
15668679,0,47.42,3,2,14,4,13.875,1,1,2,1,2,519,1705,1
15631685,1,23.17,0,2,13,4,0.085,1,0,0,0,2,0,1,1
